method,auroc,auprc,accuracy,ece,brier,nll
FedAvg,0.7179 (0.5423-0.7492),0.6815 (0.5117-0.7074),0.6683 (0.5400-0.6953),0.1086 (0.0979-0.3872),0.2111 (0.1991-0.3942),0.6106 (0.5825-1.0706)
FedBE,0.6360 (0.5311-0.6674),0.6070 (0.4938-0.6452),0.6113 (0.5003-0.6402),0.1191 (0.1021-0.3667),0.2357 (0.2250-0.3767),0.6640 (0.6410-1.0092)
