method,auroc,auprc,accuracy,ece,brier,nll
FedAvg,0.7179 (0.4817-0.8531),0.6815 (0.3034-0.8343),0.6683 (0.4693-0.8000),0.1086 (0.0137-0.5568),0.2111 (0.1590-0.5127),0.6106 (0.4940-1.3671)
FedBE,0.6360 (0.4577-0.7617),0.6070 (0.2904-0.8097),0.6113 (0.4118-0.7862),0.1191 (0.0093-0.5345),0.2357 (0.1874-0.4885),0.6640 (0.5626-1.2793)
