method,AUROC,AUPRC,Accuracy,ECE,Brier,NLL,thr,n_test,pos_rate
Central,0.7578961215672028,0.7234492047370044,0.6992797118847539,0.04632324084604779,0.1999693347622228,0.5855129084104588,0.5411226143291241,3332,0.44687875150060025
FedAvg,0.7426488406389122,0.702300363019475,0.6800720288115246,0.03242346130073015,0.20392007240510046,0.5938119266348784,0.46772899768844506,3332,0.44687875150060025
FedBE,0.6679622349025792,0.6369193174936278,0.6362545018007203,0.0490706116001475,0.22679827214572795,0.6447428545941597,0.5250839610179928,3332,0.44687875150060025
BFL,0.678276843633655,0.6467437213683338,0.6089894242068156,0.05178489947536155,0.223056696561215,0.6376412956903591,0.38177967071533203,3404,0.4412455934195065
